data_referencia,periodo,ano,trimestre,taxa_desocupacao,variacao_periodo,vs_media_historica,status,nivel_desocupacao,media_movel_4p,localidade
2012-04-01,abr-mai-jun 2012,2012,abr-mai-jun,7.6,,-2.245679012345679,Abaixo da Média,Moderada,7.6,Brasil
2012-04-01,jan-fev-mar 2012,2012,jan-fev-mar,8.0,21.212121212121215,-1.8456790123456788,Abaixo da Média,Moderada,7.8,Brasil
2012-04-01,jul-ago-set 2012,2012,jul-ago-set,7.1,1.4285714285714235,-2.745679012345679,Abaixo da Média,Moderada,7.566666666666666,Brasil
2012-04-01,jun-jul-ago 2012,2012,jun-jul-ago,7.3,14.0625,-2.545679012345679,Abaixo da Média,Moderada,7.5,Brasil
2012-04-01,set-out-nov 2012,2012,set-out-nov,6.8,9.677419354838701,-3.045679012345679,Abaixo da Média,Baixa,7.299999999999999,Brasil
2012-04-01,fev-mar-abr 2012,2012,fev-mar-abr,7.8,14.705882352941169,-2.045679012345679,Abaixo da Média,Moderada,7.249999999999999,Brasil
2012-04-01,ago-set-out 2012,2012,ago-set-out,6.9,18.965517241379317,-2.9456790123456784,Abaixo da Média,Baixa,7.2,Brasil
2012-04-01,mar-abr-mai 2012,2012,mar-abr-mai,7.7,37.50000000000002,-2.1456790123456786,Abaixo da Média,Moderada,7.3,Brasil
2012-04-01,mai-jun-jul 2012,2012,mai-jun-jul,7.5,33.928571428571445,-2.3456790123456788,Abaixo da Média,Moderada,7.475,Brasil
2012-04-01,out-nov-dez 2012,2012,out-nov-dez,6.9,6.153846153846154,-2.9456790123456784,Abaixo da Média,Baixa,7.25,Brasil
2013-04-01,nov-dez-jan 2013,2013,nov-dez-jan,7.2,16.129032258064523,-2.6456790123456786,Abaixo da Média,Moderada,7.325,Brasil
2013-04-01,abr-mai-jun 2013,2013,abr-mai-jun,7.5,-1.3157894736842035,-2.3456790123456788,Abaixo da Média,Moderada,7.275,Brasil
2013-04-01,jan-fev-mar 2013,2013,jan-fev-mar,8.0,0.0,-1.8456790123456788,Abaixo da Média,Moderada,7.4,Brasil
2013-04-01,jul-ago-set 2013,2013,jul-ago-set,7.0,-1.4084507042253502,-2.8456790123456788,Abaixo da Média,Baixa,7.425000000000001,Brasil
2013-04-01,dez-jan-fev 2013,2013,dez-jan-fev,7.8,25.806451612903224,-2.045679012345679,Abaixo da Média,Moderada,7.574999999999999,Brasil
2013-04-01,set-out-nov 2013,2013,set-out-nov,6.5,-4.411764705882348,-3.3456790123456788,Abaixo da Média,Baixa,7.324999999999999,Brasil
2013-04-01,out-nov-dez 2013,2013,out-nov-dez,6.2,-10.144927536231885,-3.6456790123456786,Abaixo da Média,Baixa,6.875,Brasil
2013-04-01,mai-jun-jul 2013,2013,mai-jun-jul,7.4,-1.3333333333333308,-2.4456790123456784,Abaixo da Média,Moderada,6.975,Brasil
2013-04-01,jun-jul-ago 2013,2013,jun-jul-ago,7.2,-1.3698630136986245,-2.6456790123456786,Abaixo da Média,Moderada,6.825000000000001,Brasil
2013-04-01,mar-abr-mai 2013,2013,mar-abr-mai,7.6,-1.2987012987013102,-2.245679012345679,Abaixo da Média,Moderada,7.1000000000000005,Brasil
2013-04-01,ago-set-out 2013,2013,ago-set-out,6.8,-1.449275362318847,-3.045679012345679,Abaixo da Média,Baixa,7.25,Brasil
2013-04-01,fev-mar-abr 2013,2013,fev-mar-abr,7.9,1.2820512820512997,-1.9456790123456784,Abaixo da Média,Moderada,7.375,Brasil
2014-04-01,ago-set-out 2014,2014,ago-set-out,6.7,-1.4705882352941124,-3.1456790123456786,Abaixo da Média,Baixa,7.25,Brasil
2014-04-01,fev-mar-abr 2014,2014,fev-mar-abr,7.2,-8.860759493670889,-2.6456790123456786,Abaixo da Média,Moderada,7.15,Brasil
2014-04-01,mar-abr-mai 2014,2014,mar-abr-mai,7.0,-7.894736842105255,-2.8456790123456788,Abaixo da Média,Baixa,7.2,Brasil
2014-04-01,jan-fev-mar 2014,2014,jan-fev-mar,7.2,-9.999999999999998,-2.6456790123456786,Abaixo da Média,Moderada,7.025,Brasil
2014-04-01,set-out-nov 2014,2014,set-out-nov,6.6,1.538461538461533,-3.245679012345679,Abaixo da Média,Baixa,7.0,Brasil
2014-04-01,out-nov-dez 2014,2014,out-nov-dez,6.6,6.451612903225801,-3.245679012345679,Abaixo da Média,Baixa,6.85,Brasil
2014-04-01,mai-jun-jul 2014,2014,mai-jun-jul,7.0,-5.405405405405405,-2.8456790123456788,Abaixo da Média,Baixa,6.85,Brasil
2014-04-01,abr-mai-jun 2014,2014,abr-mai-jun,6.9,-7.9999999999999964,-2.9456790123456784,Abaixo da Média,Baixa,6.775,Brasil
2014-04-01,dez-jan-fev 2014,2014,dez-jan-fev,6.8,-12.82051282051282,-3.045679012345679,Abaixo da Média,Baixa,6.824999999999999,Brasil
2014-04-01,nov-dez-jan 2014,2014,nov-dez-jan,6.5,-9.722222222222221,-3.3456790123456788,Abaixo da Média,Baixa,6.8,Brasil
2014-04-01,jun-jul-ago 2014,2014,jun-jul-ago,7.0,-2.777777777777779,-2.8456790123456788,Abaixo da Média,Baixa,6.8,Brasil
2014-04-01,jul-ago-set 2014,2014,jul-ago-set,6.8,-2.857142857142858,-3.045679012345679,Abaixo da Média,Baixa,6.7749999999999995,Brasil
2015-04-01,nov-dez-jan 2015,2015,nov-dez-jan,6.9,6.153846153846154,-2.9456790123456784,Abaixo da Média,Baixa,6.800000000000001,Brasil
2015-04-01,out-nov-dez 2015,2015,out-nov-dez,9.1,37.87878787878789,-0.7456790123456791,Abaixo da Média,Moderada,7.45,Brasil
2015-04-01,set-out-nov 2015,2015,set-out-nov,9.1,37.87878787878789,-0.7456790123456791,Abaixo da Média,Moderada,7.975,Brasil
2015-04-01,jan-fev-mar 2015,2015,jan-fev-mar,8.0,11.111111111111116,-1.8456790123456788,Abaixo da Média,Moderada,8.275,Brasil
2015-04-01,mar-abr-mai 2015,2015,mar-abr-mai,8.2,17.142857142857125,-1.6456790123456795,Abaixo da Média,Moderada,8.6,Brasil
2015-04-01,fev-mar-abr 2015,2015,fev-mar-abr,8.1,12.5,-1.7456790123456791,Abaixo da Média,Moderada,8.35,Brasil
2015-04-01,jun-jul-ago 2015,2015,jun-jul-ago,8.8,25.714285714285733,-1.045679012345678,Abaixo da Média,Moderada,8.274999999999999,Brasil
2015-04-01,mai-jun-jul 2015,2015,mai-jun-jul,8.6,22.857142857142843,-1.2456790123456791,Abaixo da Média,Moderada,8.424999999999999,Brasil
2015-04-01,jul-ago-set 2015,2015,jul-ago-set,9.0,32.35294117647059,-0.8456790123456788,Abaixo da Média,Moderada,8.625,Brasil
2015-04-01,abr-mai-jun 2015,2015,abr-mai-jun,8.4,21.739130434782616,-1.4456790123456784,Abaixo da Média,Moderada,8.7,Brasil
2015-04-01,dez-jan-fev 2015,2015,dez-jan-fev,7.5,10.294117647058831,-2.3456790123456788,Abaixo da Média,Moderada,8.375,Brasil
2015-04-01,ago-set-out 2015,2015,ago-set-out,9.1,35.82089552238805,-0.7456790123456791,Abaixo da Média,Moderada,8.5,Brasil
2016-04-01,jan-fev-mar 2016,2016,jan-fev-mar,11.0,37.5,1.1543209876543212,Acima da Média,Alta,9.0,Brasil
2016-04-01,mai-jun-jul 2016,2016,mai-jun-jul,11.7,36.04651162790697,1.8543209876543205,Acima da Média,Alta,9.825,Brasil
2016-04-01,jul-ago-set 2016,2016,jul-ago-set,11.9,32.22222222222222,2.0543209876543216,Acima da Média,Alta,10.925,Brasil
2016-04-01,ago-set-out 2016,2016,ago-set-out,11.9,30.76923076923077,2.0543209876543216,Acima da Média,Alta,11.625,Brasil
